model,family,active_params_B,total_params_B,training_tokens_B,param_confidence,scale_imputed,is_moe,is_reasoning_model,is_instruct,math_intensity,code_pretrain,synthetic_quality,trained_web_only,is_closed_source,release_year,scale_bucket
Claude-3.5-Sonnet,Claude,70.0,70.0,15000,0.35,1,0,0,1,2,2,2,0,1,2024.5,3
Claude-3.7-Sonnet,Claude,80.0,80.0,15000,0.35,1,0,1,1,2,2,2,0,1,2025.17,3
Claude-Opus-4,Claude,200.0,200.0,20000,0.35,1,0,1,1,2,2,2,0,1,2025.42,3
Claude-Sonnet-4,Claude,80.0,80.0,18000,0.35,1,0,1,1,2,2,2,0,1,2025.42,3
DeepSeek-R1,DeepSeek,37.0,671.0,14800,0.95,0,1,1,1,2,2,2,0,0,2025.1,2
DeepSeek-R1-0528,DeepSeek,37.0,671.0,14800,0.95,0,1,1,1,2,2,2,0,0,2025.42,2
DeepSeek-V3,DeepSeek,37.0,671.0,14800,0.95,0,1,0,1,2,2,2,0,0,2024.95,2
DeepSeek-V3-Base,DeepSeek,37.0,671.0,14800,0.95,0,1,0,0,2,2,2,0,0,2024.95,2
GPT-4.5,GPT4,2000.0,2000.0,20000,0.35,1,0,0,1,2,2,2,0,1,2025.17,5
GPT-4o,GPT4,200.0,200.0,15000,0.35,1,0,0,1,2,2,2,0,1,2024.4,3
GPT-5,GPT4,500.0,500.0,30000,0.35,1,0,1,1,2,2,2,0,1,2025.58,4
Gemini-2.5-Flash,Gemini,70.0,400.0,20000,0.25,1,1,1,1,2,2,2,0,1,2025.45,3
Gemini-2.5-Pro,Gemini,400.0,400.0,20000,0.35,1,0,1,1,2,2,2,0,1,2025.33,4
Gemini-3-Pro,Gemini,500.0,1200.0,30000,0.2,1,1,1,1,2,2,2,0,1,2025.88,4
Gemini-3.1-Pro,Gemini,550.0,1400.0,32000,0.2,1,1,1,1,2,2,2,0,1,2026.14,4
Gemma-3-12B-Base,Gemma,12.0,12.0,12000,0.95,0,0,0,0,1,1,2,0,0,2025.25,2
Gemma-3-27B-Base,Gemma,27.0,27.0,14000,0.95,0,0,0,0,1,1,2,0,0,2025.25,2
Gemma-3-27B-IT,Gemma,27.0,27.0,14000,0.95,0,0,0,1,2,2,2,0,0,2025.25,2
Gemma-3-4B-Base,Gemma,4.0,4.0,4000,0.95,0,0,0,0,1,1,2,0,0,2025.25,1
Grok-4,Grok,300.0,300.0,18000,0.35,1,0,1,1,2,2,2,0,1,2025.5,4
Llama-2-70B,Llama2,70.0,70.0,2000,0.95,0,0,0,0,0,1,0,1,0,2023.5,3
Llama-2-7B,Llama2,7.0,7.0,2000,0.95,0,0,0,0,0,1,0,1,0,2023.5,2
Llama-3.1-405B,Llama3,405.0,405.0,15600,0.95,0,0,0,0,1,2,1,0,0,2024.5,4
Llama-3.1-70B,Llama3,70.0,70.0,15000,0.95,0,0,0,0,1,2,1,0,0,2024.5,3
Llama-3.1-8B,Llama3,8.0,8.0,15000,0.95,0,0,0,0,1,2,1,0,0,2024.5,2
Llama-3.3-70B,Llama3,70.0,70.0,15000,0.95,0,0,0,1,2,2,2,0,0,2024.9,3
Llama-4-Maverick,Llama4,17.0,400.0,30000,0.95,0,1,0,1,2,2,2,0,0,2025.27,2
Llama-4-Scout,Llama4,17.0,109.0,30000,0.95,0,1,0,1,2,2,2,0,0,2025.27,2
Mistral-7B,Mistral,7.0,7.0,2500,0.95,0,0,0,0,1,1,1,0,0,2023.7,2
Mistral-Small-3,Mistral,24.0,24.0,8000,0.95,0,0,0,1,1,1,1,0,0,2025.08,2
Mixtral-8x7B,Mistral,12.9,46.7,3000,0.95,0,1,0,0,1,1,1,0,0,2023.9,2
Phi-2,Phi,2.7,2.7,1400,0.95,0,0,0,0,2,2,2,0,0,2023.9,1
Phi-4,Phi,14.0,14.0,9800,0.95,0,0,0,0,2,2,2,0,0,2024.9,2
Phi-4-mini,Phi,3.8,3.8,5000,0.95,0,0,0,1,2,2,2,0,0,2025.17,1
Qwen2.5-72B,Qwen2,72.0,72.0,18000,0.95,0,0,0,0,2,2,2,0,0,2024.7,3
Qwen2.5-7B,Qwen2,7.0,7.0,18000,0.95,0,0,0,0,2,2,2,0,0,2024.7,2
Qwen3-14B-Base,Qwen3,14.0,14.0,36000,0.95,0,0,0,0,2,2,2,0,0,2025.42,2
Qwen3-235B-A22B-Base,Qwen3,22.0,235.0,36000,0.95,0,1,0,0,2,2,2,0,0,2025.42,2
Qwen3-235B-A22B-Thinking,Qwen3,22.0,235.0,36000,0.95,0,1,1,1,2,2,2,0,0,2025.42,2
Qwen3-30B-A3B-Base,Qwen3,3.0,30.0,36000,0.95,0,1,0,0,2,2,2,0,0,2025.42,1
Qwen3-32B-Base,Qwen3,32.0,32.0,36000,0.95,0,0,0,0,2,2,2,0,0,2025.42,2
o1-1217,OpenAI_o,200.0,200.0,15000,0.35,1,0,1,1,2,2,2,0,1,2024.95,3
o1-mini,OpenAI_o,50.0,50.0,12000,0.35,1,0,1,1,2,2,2,0,1,2024.7,2
o3,OpenAI_o,200.0,200.0,18000,0.35,1,0,1,1,2,2,2,0,1,2025.33,3
o3-mini,OpenAI_o,50.0,50.0,15000,0.35,1,0,1,1,2,2,2,0,1,2025.08,2
